"Acronym","Study Name","Background","Conclusions","Conditions","Objectives","Subjects"
"NGHS","NHLBI Growth and Health Study (NGHS)","Obesity is a major contributing factor to several predictors of coronary heart disease such as hypertension, a poor lipid profile and diabetes. Both genetic and environmental factors play a significant role in the development of obesity, and there is evidence to suggest that obesity in childhood will likely carry over into adulthood. Prevention of obesity in early childhood could provide significant long term health benefits. A greater understanding of the factors contributing to childhood obesity is required for the establishment of effective weight reduction intervention programs. To this end, the National Growth and Health Study was initiated in 1985 as a multicenter study of the development of obesity among black and white pre-adolescent girls.","","Heart Diseases, Obesity, Cardiovascular Diseases, Hypertension, Coronary Disease","To investigate racial differences in dietary, physical activity, family, and psychosocial factors associated with the development of obesity from pre-adolescence through maturation between African-American and white girls. Secondarily, the NGHS sought to examine the effects of obesity on cardiovascular disease risk factors.","The NHLBI National Growth and Health Study recruited girls 9 and 10 years of age in two communities (Richmond, California and Cincinnati, Ohio) and also from families enrolled in a health maintenance organization in the Washington, D.C. area. A total of 2,379 girls were enrolled in the study between 1987-88 and were followed for 9 years. Slightly more than half of the cohort was African-American."
"NLMS","National Longitudinal Mortality Study (NLMS)","Large national studies of mortality, especially cardiovascular mortality, by occupation, industry, income, education or other socioeconomic factors are rare. From the studies that do exist, however, it is clear that strong relationships exist between socioeconomic factors and mortality. These relationships may be influenced by and may account for differences in mortality by race, ethnic origin, or geographic factors. To study these relationships in detail, large studies, inclusive of the ethnic, social and economic diversity of the U.S., are needed.","","Heart Diseases, Cardiovascular Diseases","To investigate social, economic, demographic and occupational differentials in mortality (total and by cause) within a national sample of the U.S. population.","A series of cross-sectional, national samples of the U.S. population, as identified from the Annual Social and Economic Supplement (ASEC – formerly the Current Population Survey) of the Bureau of the Census. The latest release of NLMS, version 5, contains five data files for public use: surveys with full follow-up for 11 years (n=1,835,072), surveys centered around 1983 with full follow-up for 6 years (n=1,040,719), surveys centered around 1993 with full follow-up for 6 years (n=525,884), surveys centered around 2002 with full follow-up for 6 years (n=745,162) and a tobacco use consisting of supplemental tobacco use information collected periodically between 1993 and 2005 with 5 years of follow-up for mortality (n=493,282)."
"PRHHP","Puerto Rico Heart Health Program (PRHHP)","As Puerto Rico became more industrialized in the 1940s and 1950s, mortality rates for CHD increased. Since many factors related to CHD can be relatively homogenous within a population, two contrasting subgroups were selected for study in Puerto Rico: a rural population of men from a mountainous community and an urban population selected from San Juan. The NHLBI initiated the Puerto Rico Heart Health Program in May, 1965 as a prospective study of lifestyle, environmental and biological factors in the progression of cardiovascular disease in Puerto Rican men.","","Coronary Heart Disease, Coronary Disease","To investigate morbidity and mortality from CHD in Puerto Rican rural and urban men. The objectives of the study were: (1) to identify factors related to the development of CHD, (2) compare the etiology of disease in rural versus urban men, and (3) determine the prevalence and incidence of CHD and other cardiovascular diseases in Puerto Rican males.","A total of 9,824 (2,976 rural, 6,848 urban) men, age 45 to 64 were examined at the baseline exam."
"CSSCD","Cooperative Study of Sickle Cell Disease (CSSCD)","Sickle cell disease is a single-gene defect that results in sickle-shaped red blood cells. Although the manifestations of sickle cell disease have been described, variations in the severity and number of manifestations, as well as interactions with other health events, leads to significant gaps in the understanding of the natural history of the disorder. For example, impairments to renal, cardiac, and pulmonary organ function are known to occur in sickle cell patients; however, the descriptions of these outcomes was generally retrospective in nature and occurred when organ damage was severe. In addition, only limited data existed on the social, economic, educational, vocational, and psychological adjustment of patients and families, and as with any chronic disease, impediments to sickle cell patients achieving their educational and vocational goals needs to be elucidated.","","Anemia, Sickle Cell, Blood Disease","The Cooperative Study of Sickle Cell Disease was initiated in 1977 to determine the natural history of sickle cell disease (SCD) from birth to death in order to identify those factors contributing to the morbidity and mortality of the disease. Specific objectives include: 1) to study the effect of sickle cell disease on growth and development from birth through adolescence 2) to study the conditions or events that may be related to the onset of painful crises 3) to obtain data on the nature, duration, and outcome of major complications of SCD 4) determine the nature, prevalence, and age- related incidence of organ damage due to SCD, and 5) study the role of SCD and its interaction with selected health events.

Phases 2 and 3 of the study involved followup of the infant cohort. A total of 709 infants (age less than 6 months) were enrolled during Phase 1 of the Cooperative Study of Sickle Cell Disease (CSSCD), and Phases 2 and 3 of the CSSCD was designed to follow these children for an additional 10 years. The study objectives included: 1) define prospectively the natural history of sickle cell disease; 2) determine the relationships between cognitive and academic functioning and brain status as determined by MRI; 3) determine the cognitive or behavioral markers of silent infarct; 4) determine the relationship of family functioning on the Family Environment Scale (FES) to brain status, cognitive functioning, and social and demographic factors; 5) continue studies that will enhance the state of knowledge on the influence of sickle cell disease on the psychosocial adjustment of children and adolescents.

Phase 2A of the study sought to examine the progression of organ damage in the heart, lung, kidney and liver in adult cohort patients (born before 1/1/56) enrolled in phase 1 of the study between 3/79 and 5/81. A total of 620 patients from 11 centers were eligible for phase 2A.","CSSCD was a multicenter, prospective study on the natural history of sickle cell disease and participant enrollment into Phase 1 of the CSSCD began in 1978. Participant entry ended in 1981 for all patients greater than six months of age; however, infants continued to be enrolled until 1988. Both mild and hospital-based sickle cell patients were recruited. A total of 4,085 participants, ranging in age from newborns to adults, were enrolled in Phase 1 from 23 centers across the US. Data collection for phase 1 of the CSSCD ended in 1988.

For Phases 2 and 3, 450 were enrolled in the Phase 2 followup along with 17 children that were between 6 and 10 months of age at the time of Phase 1 enrollment. Phase 2 followup concluded in 1994 and 378 patients continued to be followed in the Phase 3 continuation. Data collection ended in 1998.

A total of 359 adult phase 1 participants were enrolled in phase 2A of the study between September of 1989 and July 1991. Exit visits began approximately 2 years later and were concluded in September of 1993."
"PPH Registry","Patient Registry for Primary Pulmonary Hypertension (PPH Registry)","There are several known causes of pulmonary hypertension: chronic obstructive pulmonary disease, congenital heart disease, mitral stenosis, left ventricular dysfunction and recurrent pulmonary emboli. Primary Pulmonary Hypertension is a disorder of unknown etiology which is diagnosed only after the known causes of pulmonary hypertension have been eliminated. Prior to the PPH registry, little was known regarding the epidemiology, etiology, natural history or ultimate survival among patients with PPH. In 1973, the WHO met to review the current state of knowledge on PPH and proposed the establishment of a multicenter collaborative study. The NHLBI PPH registry enrolled patients in the registry from 1981 to 1985.","There were 1.7 females for each male in the registry, and females tended to present with more severe symptoms. The mean time from onset of symptoms to diagnosis was 2 years. Right ventricular hypertrophy was found in 87% of patients and right atrial pressure was elevated in 72% of patients. The estimated median survival was 2.8 years with single year survival rates of: 1 year, 68%; 3 years, 48%; and 5 years, 34%. (Ann Intern Med, 1987; 107:216-23, Ann Intern Med, 1991; 115:343-49).","Hypertension, Pulmonary, Lung Diseases","Establish a patient registry to evaluate the natural history, etiology, pathogenesis and treatment of primary pulmonary hypertension. Specific aims included the characterization of the demographic, medical history, family history, physical and laboratory findings of patients at time of diagnosis, and to characterize the survival duration of patients by traits evaluated at diagnosis and by medical interventions.","Patients were enrolled into the registry from 32 medical centers throughout the US. Pulmonary hypertension was defined as a mean pulmonary arterial pressure of >25 mmHg at rest or 30 mmHg with exercise at catheterization. The diagnosis of primary pulmonary hypertension was only accepted after the following secondary causes of pulmonary hypertension had been exlcuded: pulmonary hypertension within the first year of life, congenital abnormalities of the heart, lungs, or diaphragm, pulmonary thromboembolic disease, diagnosis of sickle cell anemia, history of intravenous drug abuse, obstructive lung disease, interstitial lung disease, arterial hypoxemia, collagen vascular disease, parasitic disease affecting the lungs, pulmonary artery or valve stenosis, or pulmonary venous hypertension. Baseline and follow-up data collected on patients include demographic characteristics, chest radiograph, pulmonary function tests, lung perfusion scan or pulmonary angiogram, intracardiac left-to-right shunt, pulmonary hemodynamics, as well as a history, physical findings and other laboratory measurements. Patients were followed for approximately 5 years."
"WISE","Women's Ischemia Syndrome Evaluation (WISE)","Women tend to have a higher prevalence of chest pain than men, yet a lower prevalence of epicardial coronary stenoses, and diagnostic tests such as exercise-induced ECG changes tend to have a higher false-positive rate in women than in men. Thus, accurate diagnosis of ischemic heart disease in women is a major challenge to physicians. In addition, prognosis in women with abnormal diagnostic tests is largely unknown and the role reproductive hormones play in this diagnostic uncertainty is unexplored. Moreover, the significance and pathophysiology of ischemia in the absence of significant epicardial coronary stenoses is unknown.","Among women without CAD, abnormal Magnetic Resonance Spectroscopy (MRS) consistent with myocardial ischemia predicted cardiovascular outcome, notably higher rates of anginal hospitalization, repeat catherization, and greater treatment costs (Circulation 2004; 109:2993-9).","Angina Pectoris, Myocardial Ischemia, Heart Diseases, Cardiovascular Diseases, Coronary Disease","This is a National Heart, Lung and Blood Institute sponsored, four-center study designed to: 1) optimize symptom evaluation and diagnostic testing for ischemic heart disease; 2) explore mechanisms for symptoms and myocardial ischemia in the absence of epicardial coronary artery stenoses, and 3) evaluate the influence of reproductive hormones on symptoms and diagnostic test response.","In Phase I (1996-1997), a pilot phase, 256 women were studied. During Phase II (1997-1999) angiographic and baseline data were collected on an additional 680 women to bring total enrollment to 936. Baseline data was also collected on a reference population of 70 women. Women eligible for participation are greater than 18 years of age, are undergoing a clinically indicated angiogram as part of regular medical care for chest pain or suspected myocardial ischemia. Exclusion criteria included comorbidity that would compromise one-year followup, pregnancy, contraindications to diagnostic testing, cardiomyopathy, NYHA class IV congestive heart failure, congenital heart disease, or significant valvular disease."
"AADR","Alpha1-Antitrypsin Deficiency Registry (AADR)","A hereditary disorder, patients with low serum levels of alpha-1-antitrypsin are at an increased risk for the early onset of emphysema. The only approved treatment for alpha-1-antitrypsin deficiency is augmentation therapy using a purified preparation of human alpha-1-antitryspin. Sample sizes for a randomized controlled clinical trial of augmentation therapy were determined to be infeasible; therefore, a multi-center registry was initiated in 1988 to explore the natural history of the disease and the relative efficacy of augmentation therapy in patients with a severe deficiency of alpha-1-antitrypsin.","Subjects receiving augmentation therapy had decreased mortality risk during follow-up. FEV1 decline among all subjects did not differ by augmentation therapy; however, among subjects with FEV1 35-49% predicted, FEV1 decline was significantly slower for subjects on augmentation therapy than for those not receiving therapy. (Am J Respir Crit Care Med, 1998; 158:49-59)","Chronic Obstructive Pulmonary Disease, Alpha-1 Antitrypsin Deficiency, Lung Diseases, Emphysema","To characterize the clinical and laboratory course of patients with severe alpha 1-antitrypsin deficiency whether or not the patient is undergoing long-term augmentation therapy.","Eligible subjects included individuals 18 years of age or greater for whom the Central Laboratory confirmed that the serum alpha 1-antitrypsin level is < 11 rnicromolar, or a ZZ genotype confirmed by DNA gene-probe analysis. Individuals with alpha 1-antitrypsin deficiency were accepted into the Registry independent of status of augmentation therapy. However, if the individual was receiving therapy, the serum alpha 1-antitrypsin phenotype and level in the absence of therapy were confirmed by the Central Laboratory. A total of 1,129 subjects were enrolled from 37 clinical centers between March 1989 and October 1992. Follow-up continued through April 1996."
"REDS-HTLV","Retrovirus Epidemiology Donor Study (REDS) HTLV Cohort (HTLV)","Previous evidence suggested that human T-lymphotropic virus type II (HTLV-II) infection is associated with an increased incidence of bacterial infections.","The data support an increased incidence of infectious diseases among otherwise healthy HTLV-II and HTLV-I infected subjects. They are also consistent with the lymphoproliferative effects of HTLV-I, and with neuropathic effects of HTLV-I and HTLV-II. (Arch Intern Med. 1999;159:1485-1491)","Acquired Immunodeficiency Syndrome, Blood Donors, Blood Transfusion, Retroviridae Infections, HIV-1, HIV-2, HIV Infections, HTLV-I, HTLV-II","To conduct a longitudinal, multicenter epidemiologic study of the human retroviruses HIV-1, HIV-2, HTLV-I, and HTLV-II in volunteer blood donors from areas of the United States that were reportedly at high and medium or low risk for HIV.","The study includes 154 HTLV-I infected, 387 HTLV-II infected and 799 uninfected blood donors, all of whom were HIV type 1 seronegative at enrollment. Of the 1340 present and former blood donors examined at enrollment, 1213 (90.5%) were re-examined after approximately 2 years, including 136 HTLV-I and 337 HTLV-II seropositive subjects and 740 demographically stratified HTLV-seronegative subjects."
"MESA","Multi-Ethnic Study of Atherosclerosis (MESA)","Prospective epidemiologic studies of cardiovascular disease (CVD) have traditionally relied on the occurrence of clinically overt events, such as myocardial infarction, stroke, and coronary heart disease death, to identify factors predicting development of disease. This design has served well to identify many CVD risk factors, but more recent study designs utilizing earlier, subclinical endpoints hold promise for furthering our capacity to predict and prevent CVD.","","Diabetes Mellitus, Diabetes Mellitus, Type 2, Myocardial Infarction, Heart Diseases, Atherosclerosis, Heart Failure, Cardiovascular Diseases, Stroke, Hypertension, Coronary Artery Disease, Coronary Disease","This project investigated the prevalence, correlates, and progression of subclinical CVD and risk factors that predict progression to clinically overt CVD, and that predict progression of subclinical disease itself, in a population-based sample of 6,800 ethnically diverse men and women.","The cohort is a population-based sample of 6,800 men and women aged 45-84 years. The participants were selected from six US field centers. Approximately 38% of the cohort is White, 28% African-American, 23% Hispanic, and 11% Asian (of Chinese descent)."
"ARDSNet-ARMA/KARMA/LARMA","Acute Respiratory Distress Network (ARDSNet) Studies 01 and 03 Lower versus higher tidal volume, ketoconazole treatment and lisofylline treatment (ARMA/KARMA/LARMA)","Patients suffering from ARDS are extremely ill, require mechanical ventilation and, despite improvements in medical care and technology, had a mortality rate as high as 50 percent. An excessive inflammatory response is characteristic of ALI of which ARDS represents the most severe end of the pathophysiologic spectrum. The inflammatory response includes increased numbers of neutrophils activated to produce cytokines, proteases, and reactive oxygen intermediates. Pulmonary injury may also be enhanced by alveolar and tissue macrophages as a producer of vasoactive substances, neutrophil chemoattractants, and procoagulant substances. Ketoconazole, a synthetic antifungal imidazole, also has anti-inflammatory activities and may inhibit neutrophil recruitment via several different pathways known to be involved in the development of ALI and ARDS. Lisofylline causes a marked decrease in the circulating levels of the major oxidizable species of free fatty acids and also inhibits proinflammatory intracellular signaling. Mechanical ventilation in patients with ALI and ARDS have traditionally used tidal volumes of 10 to 15 ml per kilogram of body weight. These large tidal volumes are often necessary to achieve normal partial pressure of arterial carbon dioxide and pH, but may induce inflammatory responses through disruption of pulmonary epithelium and endothelium. Mechanical ventilation at lower tidal volumes may reduce injurious lung stretch and decrease the inflammatory response.","Ketoconazole was found to be safe but did not reduce mortality, duration of mechanical ventilation, or improve lung function. Lisofylline was also found to be safe and to have no beneficial effect for patients with ALI or ARDS. Ventilation at lower tidal volumes resulted in reduced mortality and an increase in the number of days without ventilator support. (JAMA, 2000; 283:1995-2002; Crit Care Med, 2002; 30: 1-6; N Engl J Med, 2000; 342: 1301-1308).","Lung Diseases, ARDS, ALI, Acute Lung Injury, Respiratory Distress Syndrome, Adult","The ARDS Network is a consortium of clinical centers and a coordinating center to design and test novel therapies for the treatment of Acute Lung Injury (ALI) and Acute Respiratory Distress Syndrome (ARDS). The primary objective of the KARMA trial was to investigate the efficacy and safety of Ketoconazole and Respiratory Management in the treatment of ALI and ARDS. The Ketoconazole arm of the study was later stopped due to an inability to show efficacy. Patients continued to be randomized to the respiratory management arms of the study (ARMA), which compared two ventilator strategies: a tidal volume of 6 mL/kg versus 12 mL/kg. The LARMA phase of the study investigated the efficacy of Lisofylline and Respiratory Management.","Patients were recruited from hospitals at the 10 University centers of the ARDS Network and were eligible if: they were in an ICU and required positive pressure ventilation, had acute onset of significantly impaired oxygenation (PaO2 to FIO2 300), bilateral infiltrates consistent with pulmonary edema, no clinical evidence of left atrial hypertension, and were enrolled within 36 hours of developing these criteria. Exclusion criteria included age less than 18, participation in other clinical trials within the previous 30 days, pregnancy, increased intracranial pressure, neurologic conditions that could impair weaning from ventilator support, chronic respiratory disease, sickle cell disease, burns covering more than 30% of body surface area, bone or marrow transplant history, or comorbid irreversible conditions with a six month mortality rate of at least 50 percent. The Ketoconazole and Lisofylline trials were designed as 2 x 2 factorials and included 220 patients in each trial. A total of 860 patients were randomized into the ventilator management trial. Patients enrolled in the Lisofylline or Ketoconozole studies had to be concurrently enrolled in the ventilator management study and were first randomized into a ventilator strategy and then to drug or placebo."
"ARDSNet-ALVEOLI","Acute Respiratory Distress Network (ARDSNet) Study 04 Assessment of Low tidal Volume and elevated End-expiratory volume to Obviate Lung Injury (ALVEOLI)","Most patients requiring mechanical ventilation for ALI and ARDS receive positive end-expiratory pressure (PEEP) of 5 to 12 cm of water. Higher PEEP levels may improve oxygenation and reduce ventilator-induced lung injury but may also cause circulatory depression and lung injury from overdistention. PEEP levels higher than traditional levels may reduce ventilator-induced lung injury by decreasing the proportion of nonaerated lung and higher PEEP levels may allow arterial-oxygenation goals to be met at a lower level of inspired oxygen (FiO2).","Patients with acute lung injury and ARDS who receive mechanical ventilation with a tidal-volume goal of 6 ml per kilogram of predicted body weight and an end-inspiratory plateau-pressure limit of 30 cm of water, clinical outcomes were statistically similar whether lower or higher PEEP levels are used. (N Engl J Med 2004;351:327-336).","Lung Diseases, ARDS, ALI, Acute Lung Injury, Respiratory Distress Syndrome, Adult","The ARDS Network is a consortium of clinical centers and a coordinating center to design and test novel therapies for the treatment of Acute Lung Injury (ALI) and Acute Respiratory Distress Syndrome (ARDS). The ARDS Network 01/03 trials included an investigation of the efficacy and safety of Ketoconazole and Respiratory Management in the treatment of ALI and ARDS (KARMA). The Ketoconazole arm of the KARMA study was later stopped due to an inability to show efficacy. Patients continued to be randomized to the respiratory management arms of the study (ARMA), which compared two ventilator strategies: a tidal volume of 6 mL/kg versus 12 mL/kg. The LARMA phase of the study investigated the efficacy of Lisofylline and Respiratory Management. The objective of the ALVEOLI study was to compare clinical outcomes of patients with ALI and ARDS treated with a higher end-expiratory lung volume/lower FiO2 versus a lower end-expiratory lung volume/higher FiO2 ventilation strategy. The ALVEOLI study tested the hypothesis that mortality from ALI and ARDS would be reduced with a mechanical ventilation strategy designed to prevent lung injury from repeated collapse of bronchioles and alveoli at end-expiration.","Patients 14 years of age or more, intubated and receiving mechanical ventilation with a sudden decrease in the ratio of the partial pressure of arterial oxygen (PaO2) to FiO2 of 300 or less, recent appearance of bilateral pulmonary infiltrates consistent with the presence of edema, and no evidence of left atrial hypertension. A total of 549 patients were randomized to receive mechanical ventilation with either lower or higher PEEP levels, which were set according to different tables of predetermined combinations of PEEP and fraction of inspired oxygen."
"ARDSNet-LASRS","Acute Respiratory Distress Network (ARDSNet) Study 02 Late Steroid Rescue Study (LaSRS)","Persistent acute respiratory distress syndrome (ARDS) is characterized by excessive fibroproliferation, ongoing inflammation, prolonged mechanical ventilation, and a substantial risk of death.","The results do not support the routine use of methylprednisolone for persistent ARDS despite the improvement in cardiopulmonary physiology. In addition, starting methylprednisolone therapy more than two weeks after the onset of ARDS may increase the risk of death. (NEJM April 20, 2006; Vol 354, No. 16, pp 1671-84)","Lung Diseases, ARDS, ALI, Acute Lung Injury, Respiratory Distress Syndrome, Adult","Since previous reports suggested that corticosteroids may improve survival, this project was developed as a multicenter, randomized controlled trial of corticosteroids in patients with persistent ARDS.","180 randomly assigned patients with ARDS of at least seven days duration received either methylprednisolone or placebo in a double-blind fashion. The primary end point was mortality at 60 days."
